Kyrgyzstan,13-04-2020,24740,419,1.69
Latvia,09-04-2020,25440,589,2.32
Lithuania,15-04-2020,44725,1091,2.44
Malaysia,15-04-2020,87042,5072,5.83
Malta,11-04-2020,16009,370,2.31
Mexico,12-04-2020,36406,4661,12.8
Montenegro,15-04-2020,3684,288,7.82
Nepal,14-04-2020,5973,16,0.27
Netherlands,13-04-2020,128611,27419,21.32
New Zealand,14-04-2020,64280,1072,1.67
Nigeria,13-04-2020,4842,343,7.08
North Korea,02-04-2020,,0,
North Macedonia,11-04-2020,8050,828,10.29
Norway,10-04-2020,124327,6320,5.08
Pakistan,14-04-2020,72498,5988,8.26
Palestine,11-04-2020,17005,268,1.58
Panama,12-04-2020,15145,3400,22.45
Peru,14-04-2020,102177,10303,10.08
Philippines,14-04-2020,45199,5223,11.56
Poland,15-04-2020,156489,7408,4.73
Portugal,13-04-2020,163596,16934,10.35
Romania,15-04-2020,74818,7216,9.64
Russia,15-04-2020,1516914,24490,1.61
Moscow Oblast,14-04-2020,73698,2315,3.14
Serbia,15-04-2020,26272,4873,18.55
Singapore,07-04-2020,72586,1481,2.04
Slovakia,13-04-2020,29247,835,2.85
Slovenia,13-04-2020,35938,1231,3.43
South Africa,13-04-2020,82899,2272,2.74
South Korea,14-04-2020,528200,10564,2
Spain,14-04-2020,600015,172541,28.76
Sweden,15-04-2020,466518,74600,15.99
Switzerland,15-04-2020,202632,26336,13
Taiwan,15-04-2020,48608,395,0.81
Thailand,15-04-2020,35541,2643,7.44
Trinidad and Tobago,01-04-2020,595,90,15.13
Turkey,14-04-2020,443636,65111,14.68
Ukraine,15-04-2020,32054,3102,9.68
United Arab Emirates,08-04-2020,593091,2659,0.45
United Kingdom,15-04-2020,313732,98476,31.39
Scotland,14-04-2020,32749,6358,19.41
United States,14-04-2020,3155207,605243,19.18
California,14-04-2020,215294,23338,10.84
Florida,15-04-2020,212605,22081,10.39
Illinois,14-04-2020,110585,23247,21.02
Louisiana,14-04-2020,118416,21518,18.17
Michigan,13-04-2020,85914,25635,29.84
New Jersey,14-04-2020,139762,68824,49.24
New York,14-04-2020,499158,202208,40.51
Texas,14-04-2020,146559,14624,9.98
Washington,14-04-2020,122882,10694,8.7
Uruguay,24-03-2020,1550,189,12.19
Venezuela,31-03-2020,1773,143,8.07
Vietnam,15-04-2020,136170,267,0.2
Albania,09-05-2020,10268,856,8.34
Argentina,06-05-2020,72315,5020,6.94
Armenia,05-05-2020,25846,2619,10.13
Australia,10-05-2020,827872,6941,0.84
Austria,11-05-2020,319484,15815,4.95
Azerbaijan,08-05-2020,181530,2279,1.26
Bahrain,10-05-2020,182906,4856,2.65
Bangladesh,05-05-2020,92722,10929,11.79
Barbados,05-05-2020,2549,82,3.22
Belarus,08-05-2020,240146,21101,8.79
Belgium,10-05-2020,334255,53449,15.99
Bolivia,05-05-2020,8611,1681,19.52
Bosnia and Herzegovina,11-05-2020,42318,2141,5.06
Brazil,06-05-2020,735224,125218,17.03
Bulgaria,09-05-2020,56105,1911,3.41
Burkina Faso,05-05-2020,1333,672,50.41
Cameroon,10-05-2020,10268,2579,25.12
Canada,10-05-2020,1096126,68848,6.28
Chile,10-05-2020,280684,28866,10.28
Colombia,10-05-2020,151396,11063,7.31
Costa Rica,02-05-2020,13632,733,5.38
Croatia,10-05-2020,44886,2187,4.87
Cuba,08-05-2020,65509,1754,2.68
Cyprus,10-05-2020,74746,892,1.19
Czechia,10-05-2020,306409,8123,2.65
Denmark,10-05-2020,327719,10627,3.24
DR Congo,05-05-2020,2256,705,31.25
Ecuador,06-05-2020,81392,29420,36.15
Egypt,05-05-2020,90000,6813,7.57
El Salvador,04-05-2020,32030,587,1.83
Estonia,11-05-2020,63964,1741,2.72
Ethiopia,07-05-2020,28360,187,0.66
Finland,10-05-2020,123218,5984,4.86
France,26-04-2020,724574,143940,19.87
Germany,04-05-2020,2755770,164807,5.98
Ghana,07-05-2020,137924,3091,2.24
Greece,10-05-2020,98877,4015,4.06
Grenada,05-05-2020,1781,21,1.18
